"max_bins","stateroute","year_bin","n_years","n_bins"
5,7010,1992,5,5
5,7010,1997,4,5
5,7010,2002,4,5
5,7010,2007,4,5
5,7010,2012,5,5
5,7013,1992,5,5
5,7013,1997,5,5
5,7013,2002,5,5
5,7013,2007,3,5
5,7013,2012,5,5
5,7015,1992,4,5
5,7015,1997,5,5
5,7015,2002,5,5
5,7015,2007,5,5
5,7015,2012,5,5
5,7019,1992,5,5
5,7019,1997,5,5
5,7019,2002,5,5
5,7019,2007,5,5
5,7019,2012,5,5
5,7020,1992,5,5
5,7020,1997,5,5
5,7020,2002,5,5
5,7020,2007,5,5
5,7020,2012,5,5
5,7022,1992,5,5
5,7022,1997,5,5
5,7022,2002,4,5
5,7022,2007,5,5
5,7022,2012,5,5
5,7023,1992,4,5
5,7023,1997,5,5
5,7023,2002,5,5
5,7023,2007,5,5
5,7023,2012,5,5
5,7024,1992,5,5
5,7024,1997,4,5
5,7024,2002,5,5
5,7024,2007,3,5
5,7024,2012,5,5
5,7026,1992,4,5
5,7026,1997,5,5
5,7026,2002,5,5
5,7026,2007,4,5
5,7026,2012,4,5
5,7027,1992,5,5
5,7027,1997,3,5
5,7027,2002,5,5
5,7027,2007,5,5
5,7027,2012,5,5
5,7028,1992,5,5
5,7028,1997,5,5
5,7028,2002,5,5
5,7028,2007,4,5
5,7028,2012,5,5
5,7109,1992,4,5
5,7109,1997,5,5
5,7109,2002,5,5
5,7109,2007,5,5
5,7109,2012,5,5
5,7111,1992,5,5
5,7111,1997,4,5
5,7111,2002,5,5
5,7111,2007,5,5
5,7111,2012,5,5
5,14001,1992,5,5
5,14001,1997,5,5
5,14001,2002,5,5
5,14001,2007,5,5
5,14001,2012,4,5
5,14006,1992,4,5
5,14006,1997,5,5
5,14006,2002,4,5
5,14006,2007,5,5
5,14006,2012,5,5
5,14014,1992,5,5
5,14014,1997,5,5
5,14014,2002,5,5
5,14014,2007,5,5
5,14014,2012,3,5
5,14016,1992,5,5
5,14016,1997,4,5
5,14016,2002,5,5
5,14016,2007,4,5
5,14016,2012,4,5
5,14018,1992,4,5
5,14018,1997,5,5
5,14018,2002,5,5
5,14018,2007,5,5
5,14018,2012,4,5
5,14021,1992,5,5
5,14021,1997,5,5
5,14021,2002,5,5
5,14021,2007,5,5
5,14021,2012,5,5
5,14059,1992,5,5
5,14059,1997,5,5
5,14059,2002,4,5
5,14059,2007,5,5
5,14059,2012,5,5
5,14071,1992,5,5
5,14071,1997,5,5
5,14071,2002,5,5
5,14071,2007,5,5
5,14071,2012,4,5
5,14080,1992,5,5
5,14080,1997,5,5
